company,total_complaints
I kindly request your intervention in this matter. I trust that the ( CFPB ) is committed to upholding fair banking practices and ensuring that consumers are treated fairly.,0
Even though XXXX XXXX XXXX sets up their office like that of a XXXX I was made to understand that they're not XXXX  There's no XXXX  on staff.,0
XX/XX/XXXX- ruled in my favor.,0
XXXX XXXX XXXX XXXX.,0
I called to make sure it was received and to get confirmation the situation was being handled as discussed previously.,0
15USC 1981 Section 604A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions.,0
XXXX XXXX  will never send me the proof of no access from XX/XX/XXXX to XX/XX/XXXX,0
This is now the 4th time I've tried to get this resolved before I contacted a regulator.,0
I called the bank back and spoke with XXXX from tennessee on XX/XX/2023 at XXXX XXXX we were on the phone for 1hr and 10 min he went threw my entire account and found there was a error with the direct payments and he advised me he filed another dispute. I called back the next day to see if there was a dispute filed I was told no,0
Appealed Citi Bank for Account to be reopened - XX/XX/XXXX I appealed to the bank explaining the issue and that I could provide a bank statement showing the amount of money in my bank account which was XXXX greater than the amount owed to the card.,0
I have records that show I was in the vicinity and I needed a car. Please see the attached XXXX receipt from XXXX XXXX and my car rental agreement from XXXX XXXX XXXX. If I was in the vicinity and I needed a car,0
15 USC 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish an account without my written instructions.,0
I understand that credit limit decisions are made based on various factors,0
I asked them to please check on our original conversation where I requested regular full automatic payment but they said they couldn't. I asked them to please refund whatever interest charges they could and they said they could only refund XXXX single $ 80 monthly interest charge.,0
none of these answer my question an hour agoAgent profile picture Discover One of our 100 % US based customer service agents will be with you as soon as they can. Feel free to return anytime,0
XX/XX/XXXX Spoke with XXXX ( customer service rep ) and XXXX ( Supervisor ) and again the case has been escalated to a manager and they should be contacting me within 24/48 hrs.,0
XX/XX/XXXX - vendor sends documentation supporting that i owed a refund. Discover says the opposite.,0
The email is attached and said : Bank of America.,0
I made my initial report on XX/XX/2023 to The Gemini Credit Card 's customer service calling center notifying them of the fraudulent charge. I told them and submitted documentation explaining I did not make a purchase from XXXX XXXX on that date nor for that amount,0
I am now caught in the middle. XXXX XXXX says they returned the money and American Express said they did not. I want to know what I can do to move this to resolution before handing it over to my attorney where this will get real expensive for one or both of these companies.,0
I have since spent over {$1500.00} on the credit card and haven't received any statement credit. I reached out to the support via secured message online and was told I need to call XXXX. I called the phone number and was told they don't know anything about the promotion and was asked to call Sears at XXXX or XXXX. I called Sears and was told they can't do the statement credit and I have to call the credit card company back. Basically I am getting a run around and no one knows how to give me the statement credit.,0
I have disputed the incorrect reporting multiple times,0
Let me just gread through your response.,0
Finally XX/XX/2023 I filed another dispute for the same charge and finally got a response that the charge for XXXX was not from a retunred payment it was a issue with my direct payments being applied to the account. i was told by account manager that when they add direct payments to a account there is suppose to be equal positive and negative charges to balance out the account but in my case there were only postives and no negatives but they fixed it and account balance is correct.,0
Card arrived roughly 10 days later.,0
I contacted Wellsfargo executive office,0
I immediately called the number : XXXX And that's when the odyssy began.,0
Please help me get a credit in any way possible.,0
They came out to troubleshoot my AC unit and found that it was leaking coolant and because it was 16-18 years old,0
i was advised that XXXX will be my ending month and that i should return the money before the billing period expiry.,0
I started getting daily phone calls giving directions for making a payment. The calls have been coming daily,0
Facts : XXXX pays out approximately XXXX XXXX dollars to physicians and other medical services. The credit card companies want a part of this pie ( XXXX percent of XXXX XXXX XXXX XXXX ) by paying physicians with prepaid Visa card/Mastercards.,0
The charges from XXXX,0
By contrast,0
Thanks to CapitalOne 's unrivaled stupidity,0
Bank of America is not filing a claims case / is not helping me locate the funds and issue a new cheque.,0
-- XX/XX/XXXX- I filed a dispute on the charge with my Citi VISA.,0
Because I never received the card,0
I made a purchase online on XX/XX/2023 and used {$45.00} of credit card rewards to pay for my purchase. I then returned the item in store on XX/XX/XXXX ( receipt attached ) and the cashier processed the return and rang up the items I was buying in store. You can see on the receipt that the item cost {$60.00} and I was getting refunded {$15.00} with a line under that I used {$45.00} credit card rewards. The {$45.00} rewards was not processed on that receipt and nor was it returned to my credit card.,0
Letter is below...,0
I tried explaining to discover that yes I received AN ITEM but not what I purchased. I received something very different that cost me A LOT of money.,0
Thank you for your attention to this matter. I am looking forward to a timely and positive resolution to this complaint. Please do not hesitate to contact me should you require any further information or assistance.,0
If you know anything about that,0
On XX/XX/2023 I noticed the charge that was disputed was placed back on my account. I spent approximately 90 minutes on the phone discussing this. I was told the dispute was closed in the merchant 's favor and i was placed on long holds while they reviewed the notes so they could figure out what was going on. I initially spoke to XXXX who gave me attitude at one point,0
The US Post Office not only did not do their assignment,0
FCRA Violation : The FCRA prohibits credit reporting agencies from reporting inaccurate information on consumer credit reports. American Express 's reporting of this junk fee is inaccurate,0
As much as this all inconvenienced me,0
On XX/XX/2023 I visited the XXXX XXXX at XXXX XXXX at XXXX airport ( XXXX  ),0
15 USC 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instruction.,0
- Proof that you are licensed to collect in my state.,0
We make sure everything is ok.,0
Synchrony bank could never tell me what they were wanting to verify,0
I kindly request the following actions to be taken : A thorough investigation into the unauthorized charge dated XX/XX/2023.,0
The cable company got paid twice ( which is fine since there's always an ongoing,0
"Subject : Bank of America closing my credit card and marking on credit ( \\\" Derogatory '' ).",0
About 2-3 weeks later I received a letter from Wellsfargo that says they need additional information and have me to call them. I called them and they asked a few question such as whether anyone else is authorized to use my card,0
Please see the attached documents.,0
I didnt get my XXXX because of this discrimination.,0
I received a letter from Capital One stating that a provisional credit was awarded and that decision was then reversed. Capital One based their decision on the following '-Confirmation showing no return policy was received '?,0
( 2 ) Within 20 calendar days after receipt of a notice of rescission,0
They continued to harass me even though I provided proof that XXXX JOB was canceled.,0
15 USC 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions.,0
I'm someone who takes pride in my credit score and has never had an account that was not in good standing. So,0
The biggest issue is that I never received any bills from Kohls. I did receive XXXX phone calls that originated at XXXX AT NIGHT on XX/XX/XXXX and other nights after XXXX ) from a number identied as spam - I blocked it. However,0
The bonus was for XXXX points if I spent XXXX XXXX XXXX XXXX within 3 months. I met these terms.,0
They placed my account on hold again for the SAME exact reason this week on XX/XX/XXXX.,0
I have used checks bearing these same numbers many times and had only a few days earlier successfully made an online payment using them elsewhere.,0
One month later,0
35 minutes ago Agent profile picture Discover you are inquiring about a dispute correct and not able to process it online?,0
The situation is further complicated by having to deal with two (and possibly three) entities who I cant force to communicate with each other. Im,0
I use XXXX credit monitoring and they were able to help me put an alert on my credit reporting with all 3 credit bureaus,0
This is the biggest financial fraud i have ever encountered. I am very responsible citizen with Exceptional credit score,0
We'll review your Chase Sapphire Preferred credit card application and be in touch soon.,0
XXXX SHORTED REFUND BY {$31.00}.,0
Changed my payment bank account to new bank account. But US Bank can't handle it at all. When i am trying to setup auto pay,0
1. I did not receive any notice of the annual fee imposed on my account for this year. If I did get statements mailed,0
I never applied for this card or had knowledge of this account being opened. I was apparently hacked.,0
My complaint is that my financial relationship with Apple / Goldman Saks for the Apple Card and my ability to purchase a phone directly from Apple to finance on their card should be agnostic to the provider I choose for my cell phone. Especially when the only 3 providers they are requiring are all much more expensive than my current provider. There are many customers in the US that rely on lower cost cell phone providers ( called MVNOs ) and use Apple 's 0 % financing to make the total monthly cost of cell phone bills ( cost of phone + cell service ) lower than larger carrier.,0
I closed my credit card account # XXXX XXXX XXXX. However,0
There should not be retaliatory actions by this organization for filing complaints.,0
With that said ; yet after further review,0
Wells Fargo Reflect Credit Card is advertised as 0 % interest for a minimum of 18 months and maximum of 21 months. It states for all terms that there are interest fees applied including Cash Advances.,0
I am a victim of identity theft. However,0
Every month the bank take {$230.00} as interest. My score was XXXX and now became XXXX because of this interest I can't continue paying this amount.,0
Please help me with what I should do.,0
A {$52.00} charge was made in XXXX of XXXX No notice of statement received in email in XXXX or XXXX.,0
4. I have NEVER received and goods or services or software from the XXXX XXXX company that processed the fraudulent {$2600.00} charge on my Visa. I also never received any kind of communication or receipt from this entity. They obviously scammed people into thinking they are the legitimate software company.,0
Ensure that Citibank takes immediate steps to correct any inaccuracies on my credit report resulting from this dispute.,0
So we sent the items back to the address on the original package along with the order information. Upon the items being returned to the merchant 's e-commerce center,0
I contacted PenFed through its agent ( identified in email as XXXX XXXX ). My points were restored,0
Lowes was not transparent with me when the purchase was made. Lowes also refused to give me a receipt of a copy of my contract. It is difficult to contact Lowes and their employees are irresponsive.,0
One weeks later on XX/XX/XXXX,0
These are the three orders taken by Wayfair on or about XXXX XXXX XXXX (they are no longer accessible on the Wayfair website):,0
4 ) Finally,0
XXXX!,0
"I telephoned the company & was informed that my account was closed because I had failed to \\\" verify '' my identity by responding to an email the company had sent me several months ago.",0
I have difficulty with long phone calls as my temper is short from trauma which I am working on. Ive explained this to some Discover employees and its obvious in my documents regarding other disputes. I have paid my bills for 9 or 10 years and for me to receive a document from Discover without warning that any verbal communication and I couldnt use the number I have on file when I put in the last four digits of my social security number. I was given the warning that I basically couldnt speak with anyone. I tried different options since I wasnt given any warning. I arrived home that night and saw a letter from XX/XX/XXXXXXXX  alluding to the fact that I would want to write them anything. I plan on closing my account with Discover.,0
Regions Bank did not respond to this letter,0
To begin,0
Now that Chase has closed my oldest credit card account,0
In a effort to get my credit report cleared and in good standing I contacted usaa and requested a settlement for the credit card.,0
I would appreciate it if you could take action on this matter as soon as possible. Thank you for your time and attention to this matter.,0
BUT,0
This past year my credit has suffered and I am struggling to make payments for items I never purchased. I am drawing in interest from these fraudulent charges and Citi is not helping me at all Over the past year I have made several fraud disputes with Citi but they refuse to work with me.,0
transaction denied because they said chip card technology used and can not be counterfeited.,0
2. How could I select autopay when it is not an option on their website?,0
-I 've used credit cards with major banks and none have a dashboard as confusing as theirs. I never knew what I was paying on or how it worked when the promotional balance expired. I asked them a few times but their explanation didnt make sense.,0
-When I was approved for a min $ XXXX  monthly payment,0
I kindly request that the CFPB investigate this matter thoroughly to ensure that American Express upholds its responsibilities to its customers and adheres to all relevant consumer protection laws. Furthermore,0
Restore my previous Thank you rewards on the account of XXXX Thank You points.,0
. Having XXXX other accounts linked to my jpmcb account for payments,0
A Call for Action : I implore the CFPB to delve into this matter,0
I don't understand how a company as large as American Express can pull a bait and switch like this. The burden of proof shouldn't be on me as the consumer,0
It then canceled the card upon my request ( again ) but refused to refund the annual fee already paid.,0
Citibank offered me a balance transfer that clearly I intended to pay by XX/XX/XXXXXXXX  If Citibank had been transparent and explained this in BOLD LETTERS and not in footnotes,0
XX/XX/23 - fraudulent charge {$30.00} and we called in and reported the fraudulent charge and a case was open.,0
My complaint is : The Bank of America deliberately obfuscates the method of autopay so that they can collect the Late Payment charge. They then use the missed payment to destroy the client 's credit rating and demand full payment of the current charge which would normally be due in about 1 month.,0
"I noticed that not only was I charged interest despite paying an amount equal to or greater than the \\\" Amount to avoid Standard and Deferred Interest ''",0
I trust that the CFPB will take appropriate measures to address this issue promptly.,0
When I called to have a conversation about this situation the company would not address my issues or note my account.,0
Did you know you can transfer your other balances.. No,0
Now being XX/XX/XXXX ( almost 8 months after the fraud ) I called Bank of America for an update : XXXX : Called the same number I have been calling and spoke with a representative. They notified me that I had the wrong department and transferred me. Once getting on the phone with that department they transferred me again. Now talking to the 3rd person they hung up on me.,0
it SAYS it gives you the option to email you a code,0
Capital One Quicksilver credit card sign up page link - https : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Their sign up page states the following - New Cardmember Offer Earn a one-time {$200.00} cash bonus once you spend {$500.00} on purchases within 3 months from account opening.,0
When I received my statement,0
I then asked for my card to be refunded and the teller lost patience,0
Phone 1 : XXXX? I called the company to identify the amount I had to pay to not get charged interest ( the purchasing amounts ) and the discrepancy I was not seeing on the statement. I was told the purchase amounts was applied as the same interest free as the transfer balance.,0
I am not willing to pay a single XXXX towards these Fraud Charges since I did not make these.,0
HERE IS MY COMPLAINT : On XX/XX/XXXX,0
Thank you for your attention to this matter. I trust that the Consumer Financial Protection Bureau will take appropriate action to address this issue and protect consumer rights. I look forward to a prompt resolution and a satisfactory outcome.,0
there fore prompting me to not be able to properly responded during the dunning period for the alleged debt which does not constitute for me to be liable by law under 15 U.S. Code 1692g - Validation of debts ( c ) Admission of liability The failure of a consumer to dispute the validity of a debt under this section may not be construed by any court as an admission of liability by the consumer.,0
Despite my continued efforts to resolve the matter directly with XXXX XXXX,0
Me : Which,0
I have contacted my Chase once again concerning the fraudulent charges on my credit card. They attempted to call me on XX/XX/XXXX but I was busy an unable to receive the call. I called back today ( XXXX ) to follow up.,0
I paid off my Ally account and requested it closed. And the existing fraudulent charges be removed from my credit card. I can not log into my All credit card account so I don't know if the charges have been deleted?,0
- Called back XXXX more times and was told after another review they can not help and that would still be responsible for all interest and fees,0
My response is that the hotel charged this VISA card without my authorization. The hotel reservation was made with a XXXX,0
XX/XX/XXXX XXXX XXXX XXXX - Supervisor XXXX Validated charges with Chase while I was on the phone. Submitted claim for final approval.,0
XXXX purchases are being permitted on this new account.,0
I contacted comenity.net credit card customer service line three different times on XX/XX/2023 and received different conflicting information each time I spoke to a different customer service representative with these concerns. I then contacted cfpb and was advised that there are two options for the credit card company and them options being to close an account or to continue reporting an account,0
XXXX XXXX did nothing correctly at the house and didn't repair things. I am providing evidence such as an inspection report made by an inspector with letterhead and an inspection letter explaining in detail line by line that the XXXX did not do or finish anything,0
Note : Neither the advertisement from Ashely nor the loan documents or subsequent statements disclose the monthly payment amounts needed to pay off the extended credit during the promotional period in order to avoid interest charges.,0
They have also sent me an information letter stating their research of why my fraud charge was denied. They are stating it was because a chip was used to make the transaction. However,0
My biggest concerns here are that the initial agreement was not upheld. Then,0
I believe that Synchrony Bank 's actions in imposing these fees and interest charges are not only unwarranted but also in direct violation of the agreed-upon terms. I have adhered to the terms of the credit agreement,0
Starting on XXXX continuing through at least XX/XX/XXXX my credit card was somehow used fraudulently to make a lot of purchases. I believe my card was stolen. It's possible I just lost it and someone found it and then used it,0
{$98.00} XXXX purchase XXXX XXXX {$800.00} XXXX purchase Staples {$500.00} XXXX purchase XXXX XXXX {$100.00} XXXX  purchase XXXX Point Steamers {$110.00} All of these transactions are FRAUD. I reported it to my bank U.S. Bank like you are supposed to if something like this happens. They initially credited the money back to my account,0
XXXX. ) This current trip,0
Date : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  XXXX XXXX XXXX XXXX XXXX XXXXXXXX Your request to open your Paypal Business account is processed.,0
I did not schedule anything on the same day and when I checked my account the next day,0
No online access was given and no statement or notification has been sent.,0
In XXXX I received a confusing call from their claims department telling me they could only refund a partial amount and they would close the claim. I appealed this over the phone and told them I wanted 100 % refund of the fraudulent charges plus interest.,0
"Account No- Costco Anywhere visa Credit card ending in XXXX ( account since XX/XX/XXXX )- with a -Credit limit of {$12000.00} with the current balance of \\\" - {$100.00} '' -Restore my previous rewards Costco cash back from XXXX to {$220.00} that is supposed to be mailed to me later this year on the end of XX/XX/XXXX statement.",0
"XX/XX/2023 -- I receive the following text message : \\\" FreeMs : OneMain Fraud Ctr : XXXX Case XXXX Did you attempt {$32.00} at XXXX * XXXX XXXX with card XXXX? Reply YES or NO. Opt Out reply STOP '' Given the card has now been closed for over a month",0
To expedite the resolution of this matter,0
Me : And why is that?,0
XXXX ) I was not able to actively pursue this case after I reported this case to Capitalone in XXXX XXXX because I suffered a Massive XXXX XXXX in XX/XX/XXXX which incapacitated me. My health continued to deteriorate up until XX/XX/XXXX that is when I had an XXXX XXXX XXXX. I am still recovering from that XXXX.,0
This all seems fraudulent to me. If no one complains they get XXXX XXXX  from many because of it. Even complaining they don't seem to comply. I do not understand why it was not immediately resolved as it seemed an error on their part.,0
I again called the Fraud Department to inform them that the charges were not removed but placed back on the new account. Their investigation did include charges that were made without my authorization at the locations specified in the report.,0
Our disputes with Barclay were not accepted because we previously did business with XXXX.,0
This is unfair deceptive acts and practices ( UDAAP ) to arbitrarily apply payments to the smaller more recent purchase than to the first purchase. If I had known how my payments would be applied,0
On XX/XX/XXXX I received a letter from BOA ( Dated XXXX ) stating that the case had been closed because additional information was not sufficient or received in a timely manner.,0
They state that I have to FAX a copy of my driver 's license and Social Security card to them. As it is XXXX,0
A police report was attempted to be filed but because the occurrence was on a XXXX XXXX XXXX line,0
I go to the bank thinking itll be a quick process. I spent apporx XXXX HOURS (!!!!! ) in the branch to get the matter resolved.,0
*My landlord statement so they could see that I WAS THE ONE PAYING MY XX/XX/XXXX PAYMENT not them.,0
I called many times after that and would always get the no supervisors are available. All I wanted was to see the evidence they used to make the determination that I was in fact the person who made that purchase at XXXX XXXX. They noted the XXXX provided evidence and was interested in what was provided. Finally,0
I AM XXXX. I SERVE IN THE XXXX. I DO NOT HAVE THE ABILITY WITH MY LOW SALARY TO JUST SHOP UNCONTROLLABLY AND PAY OFF $ XXXX. HAD I KNOWN THIS WHEN THE CARD WAS INSTANTLY APPROVED,0
I waited and waited and did not see a refund to my credit card for the purchase. In XXXX I contacted and spoke with XXXX and they confirmed the refund would be coming from XXXX XXXX directly so I needed to speak with them. On XX/XX/XXXX I called XXXX XXXX and they confirmed that they sent my refund on XX/XX/XXXX to my credit card. I happened to book my underlying seat with one card ( Bank of America ) and a seat upgrade with a different card ( XXXX ),0
3. The card number ending in XX/XX/2023 has not been used in many years. It has carried a XXXX balance for at least 4 years.,0
I scoured the website,0
"I asked the agent to setup AUTOPAY for me- she replied that she could not do that. The agent began by directing me to a link on the Credit Card account page called \\\" Pay & Transfer ''.",0
they placed my card on hold on XX/XX/XXXX. l called them and had a 3 way call with my bank to verify it was in fact my bank account. Mind you,0
-- We could not stay at the property we reserved because of the horrible smell and for over $ XXXX,0
-- XX/XX/XXXX - XXXX informed us that it was up to XXXX XXXX XXXX to provide a resolution.,0
Thank you in advance.,0
I immediately called Wells Fargo to notify them of the fraud and they took down my statement. I indicated that the card was not in my possession when the fraud occurred. The person on the phone told me they would review my claim over the next 10 business days. Wells Fargo then reversed the fraudulent transactions,0
Remove these late payments and update this account immediately,0
"I requested a copy of my statements as well as a copy of the signed disclosure from CareCredit/Synchrony Bank XXXX I requested my statements for beginning XXXX to present as well as a signed copy of the \\\" Promotional '' disclosure in XXXX",0
The point I tried to make with Wells Fargo was what was the use of cancelling the hacked card so it couldn't be use but charging the replacement credit card I NEVER activated,0
Later that night,0
call being disconnected after talking to Fraud for over 1 hour,0
No careful review occurred because prior to XX/XX/XXXX,0
Citibank has refused to remove charges and give the cardholder a new account number,0
I don't believe the credit card company can unilaterally impose a requirement that I obtain a document that is impossible to obtain. I'm not aware of any requirement in the law. This appears to be an internal procedure created by Chase.,0
Re-applying would cause a new hard pull on my credit and I doubt if I would get approved again for all cards I had given,0
I have mailed no less than 7 letters to Citibank regarding these unauthorized charges. They have since reported to the credit agencies that this is a delinquent account,0
Please help to get this situation resolved.,0
Citi apparently decides to routinely ignore the fact that there are known attacks against EMV ( a.k.a. chips ) and immediately rule against the consumer.,0
Turns out the reason why I couldn't activate the card was because it was already used internally by someone in their own office charging items even before my card was activated in the amount of {$140.00} in XXXX CA no less. We have not been to CA in 30 years and have XXXX intention of visiting in the future.,0
I am so outraged by this sequence of events that I can not adequately begin to determine what I need to do to keep my money safe. Obviously I have to clear out my Chase accounts and move to another bank,0
I have had this card for over 30 years,0
A note on XXXX Now Decide Later Orders : You have 30 days to assign a fabrie to your piece ( XXXX ). When you're ready,0
Spoke with XXXX a few hours later,0
1. XXXX tracking number - XXXX 2. Individual that signed for the package at XXXX XXXX XXXX XXXX XXXX XX/XX/XXXX,0
I put the first claim of the fraud for {$1100.00} on XX/XX/2023,0
We contacted Chase again,0
Our system isn't cooperating,0
They in return as of today killed my log in. So I know they are going to try to get fee 's,0
I made a call and paid the bill as soon as I received an alert of a returned ACH payment,0
They originally offered a settlement of {$500.00} but now they are only accepting {$990.00}.,0
If they received the funds on XX/XX/XXXX  the merchant needed to give me access immediately instead of told me to pay again if I needed access to the system on XX/XX/.,0
After XXXX,0
Chase decided against me in the dispute due to the reason of the dispute. Chase assisted me with selecting the reason! I have redisputed the charge twice now and call chase dispute team every couple of weeks begging for help. Chase will no longer assist me and advised me to go directly to the XXXX XXXX. I have tried contacting XXXX directly but they refer me back to my card issuer-Chase.,0
i called up to dispute and they did not help me with that.,0
A written confirmation detailing the resolution of these matters.,0
I get that terms get updated -- but forcing people to agree to something they do NOT have time to read? XXXX XXXX XXXX,0
- I applied for both offers and subsequently received XXXX credit cards. I promptly purchased items to meet the required amount to receive my XXXX miles per offer/card.,0
Purchased luggage and 2 other items for a total of {$170.00}.,0
Tried activating the however I couldn't.,0
Upon arrival,0
Details I paid {$600.00} ( two charges of {$300.00},0
With the Payment Plan,0
We are required to report your account to the Consumer Reporting Agencies as a disputed account until you advise us to remove the dispute status. If you have any questions,0
Please see 3 attached snap shots of my dashboard I asked the representative why don ' they send a simple encrypted email or a letter or just call my cellular? then she hung up on me.,0
I was notified by my credit monitoring application,0
I sent an email that provided the following 'Please do not ship item Please cancel and/ or hold order. I have not agreed to purchase '.,0
6 ) SOLUTION!!,0
I sent them over screenshots showing every month I have paid over the amount due and some months I pay 2 payments to help pay the bill off before interest occurs. I told them to show me proof of why the payment is late and showing them proof that I always have made the payment on time. And even went on to say this happened before and it was your error.,0
"I did try to Contact synchrony Bank via Chat on Tuesday XX/XX/XXXX. Spent about a half hour taking with them to get no answer just told me to \\\" call Walgreens customer service \\\" which makes no sense as the credit card",0
XX/XX/XXXX Target sent another letter declining my dispute stating : You documentation we received from you on XX/XX/XXXX was not sufficient and did not indicate a letter from your banking institution stating that your checking account was open and active,0
There were no statements sent and there were no phone calls made. I reached out to synchrony about this and they gave me the runaround and we're supposed to send me after 30 days following my complaint and dispute documentation. They never did. I reached out again and they told me 45 days every time I'd call they tell me it would be another 15 to 30. I actually had my mortgage lender reach out as well to document these calls with us. I reached out over 12 times and they would never let me speak with anyone to go over my account. They kept telling me that they were going to send me a decision via mail. They never did.,0
This is not normal spending for an individual and their algorithm did not pick it up nor was my account blocked.,0
"I spoke to them and they simply stated \\\" sorry",0
15 USC 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish an account without my written instructions.,0
*First Capital One made an error on XX/XX/XXXX ( reference letter ) charging me back {$490.00},0
The request was not heeded and the bank took out the {$95.00} out of the positive balance I have had with them and then refunded the remainder.,0
My email address at the time was XXXX but that email account is closed. I just provided the email address so you could find my previous complaint.,0
I clearly have the funds in my account and was successful making payments for many months without issue and I still continue to make payments to others from the same bank account.,0
- Because I both retained my physical card,0
Hopefully a more careful reading of the email chain will demonstrate to the anonymous author that credit which was offered by the merchant was only for the three undamaged cases of material.,0
I believe this is a clear case of mishandling and failure to properly resolve a dispute. I kindly request that the CFPB investigates this matter to ensure a fair and just resolution.,0
I immediately received notice of this charge and contacted GS with my dispute.,0
I asked them to remove the charge as the card is not active,0
Over the course of about the next month or so after being approved for the card I spent over {$1000.00}. After not seeing the bonus I reached out to customer service at PNC via their app,0
The letter says there was a conditional credit issued for the disputed amount along with any related fees and interest charges while your inquiry is under review.,0
I have asked CITI for a case number associated with the disputes,0
My card number at the time was. XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Please investigate this and get back to me when you can. I appreciate your assistance in this matter.,0
WAYFAIR AND CITIBANK - FRAUD,0
Kohls reply letter stated the late charge was removed. Problem is they did not remove the 2nd late charge nor interest Follow-up letter sent outlining the problem and needed solution. No response received.,0
Please help reverse these charges. I have never been involved in any fraudulent charges. I am a XXXX XXXX XXXX female student and can not absorb these blatantly fraudulent charges.,0
Around XXXX of XXXX,0
I hit the threshold very quickly,0
-- We showed up for our reservation in good faith that what we paid for was what we had been promised. We made good-faith efforts to resolve the issue for a few hours once we arrived. All of our family members were driving hours to gather together. We showed up in good faith and the host clearly did not deliver what they promised.,0
Around that same time my account was adjusted to reflect a credit of {$7200.00} while you investigated the issue. You also removed the payment from the Merchant and that is when the communication picked back up.,0
If you have any questions,0
This bank makes many excuses and tactics to not increase customer 's credit limit even though the customer has met the criteria to be eligible for XXXX.,0
Enclosures : The documents attached serve as a beacon,0
I try to gain access to said virtual card,0
On or about XXXX XXXX XXXX  Wayfair | Citi Cards | Citibank N.A. erroneously issued a credit card in my name to a person unknown to me who had apparently hacked an old Wayfair account and stolen personal information. At the same time,0
First statement sent XXXX XXXX XXXX  Most recent XXXX  statement is XXXX with fees and interest.,0
XXXX ) The 4 returned transactions that I reported as fraudulent happened on XX/XX/XXXX,0
If the above-mentioned items are able to be met I am willing to make payment on this debt immediately. I will only answer to an individual who is an official representative of this Company with the terms of this offer expiring at the end of thirty ( 30 ) days.,0
( a ) Consumer 's right to rescind.,0
Someone listed me as a authorized user without permission.,0
Being told that all merchants he linked were blocked and or deleted -- BUT THEY ARE STILL THERE!,0
At XXXX,0
"Wells Fargo could not fix this problem. Wells Fargo stated their internal systems show the {$0.00} {$35.00} payment range is displayed as \\\" last statement balance '' in their system.",0
XXXX ( A little over a month later ) I received a letter from Barclays saying they had investigated the incident and they it was not fraud as XXXX provided evidence that the items were picked up. ( Not something I'm disputing,0
On the aforementioned date,0
"I am requesting that you investigate this matter and remove the \\\" Derogatory '' and \\\" XXXX '' marks from my credit report. I am also requesting that Bank of America should reopen my credit card.",0
I got mad after years of Kohls and the Kohls Cash scams and didn't deal with it as promptly as I should have ( and it was only {$10.00} ),0
They claim it is policy guidelines and refused to correct it. I saved this over 10 years and lost it within XXXX minutes!,0
I have even receive a physical letter from citi stating in has been fixed ( which I have included in my documents ) it has not been fixed to date Why is this so complicated... this has to happen all the time.,0
I got the new phone and I returned the previous phone on the same day around the last week of XXXX.,0
they have been able to make charges using my information. I did not give the card to anyone to use. Their fraud department needs to do more research on how somebody made charges in another state using my information.,0
I called American Express on XX/XX/2023,0
XXXX. ) Amex told me last year,0
I firmly believe that this situation is not only unfair but also unacceptable. As a loyal customer,0
I request that you promptly investigate this matter in accordance with both 15 USC 1681b and 15 USC 1681c-2 and provide me with a written notification of the results of your investigation,0
I was left to scramble and find another vehicle. I was able to take an XXXX from XXXX XXXX to XXXX XXXX XXXX where I was able to secure a mid-size SUV.,0
I kindly request that the CFPB investigates this matter thoroughly and takes necessary actions to rectify the situation. Wells Fargo should be held accountable for the adverse consequences this decision has had on my financial well-being.,0
XXXX said on XX/XX/XXXX  she received a text message alert from XXXX XXXX  and XXXX Credit Bureau which alerted her a charge of {$3800.00} was made on her Fortiva Credit Card.,0
Credit was refused because I have a Paypal card mailed to my house.,0
Upon noticing the reappearance of the charge,0
The family and I had an upcoming trip in XXXX and payment was needed by XX/XX/. On XX/XX/XXXX  I transferred from a Bank of America checking account to my Bank of America credit card account with cleared funds {$63000.00}. I told XXXX that the purpose was to pay for a trip in XXXX. After all but approximately {$29000.00} was paid. I spoke to a supervisor XXXX in California. He told me to try again. XXXX also told me that the credit card limit was set by Visa and not the bank. Before getting off the telephone with him,0
After I received refusal for my initial fraud claim,0
I have contacted XXXX over 6 times and each time they confirmned none of those charges are against my account. Despite this Citigroup has refused to resolve the issue. I have communicated with Citigroup over a dozen times all to no avail.,0
